91.5660 	EXP 	image: image = 'incorrect.jpeg'
91.5660 	EXP 	image: autoDraw = True
92.5177 	EXP 	New trial (rep=3, index=2): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
92.5328 	EXP 	image: autoDraw = False
92.5328 	EXP 	Target: color = 'yellow (named)'
92.5328 	EXP 	Target: text = 'yellow'
93.0332 	EXP 	Target: autoDraw = True
93.3613 	DATA 	Keypress: down
93.3827 	EXP 	Target: autoDraw = False
93.3827 	EXP 	image: image = 'incorrect.jpeg'
93.3827 	EXP 	image: autoDraw = True
94.3343 	EXP 	New trial (rep=3, index=3): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
94.3489 	EXP 	image: autoDraw = False
94.3489 	EXP 	Target: color = 'yellow (named)'
94.3489 	EXP 	Target: text = 'green'
94.8498 	EXP 	Target: autoDraw = True
96.9709 	DATA 	Keypress: down
97.0495 	EXP 	Target: autoDraw = False
97.0495 	EXP 	image: image = 'incorrect.jpeg'
97.0495 	EXP 	image: autoDraw = True
98.0012 	EXP 	New trial (rep=3, index=4): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
98.0333 	EXP 	image: autoDraw = False
98.0333 	EXP 	Target: color = 'green (named)'
98.0333 	EXP 	Target: text = 'blue'
98.5169 	EXP 	Target: autoDraw = True
98.9148 	DATA 	Keypress: down
98.9334 	EXP 	Target: autoDraw = False
98.9334 	EXP 	image: image = 'correct.jpeg'
98.9334 	EXP 	image: autoDraw = True
99.9183 	EXP 	New trial (rep=3, index=5): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
99.9330 	EXP 	image: autoDraw = False
99.9330 	EXP 	Target: color = 'green (named)'
99.9330 	EXP 	Target: text = 'green'
100.4168 	EXP 	Target: autoDraw = True
100.8885 	DATA 	Keypress: down
100.9002 	EXP 	Target: autoDraw = False
100.9002 	EXP 	image: image = 'correct.jpeg'
100.9002 	EXP 	image: autoDraw = True
101.8848 	EXP 	New trial (rep=3, index=6): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
101.8984 	EXP 	image: autoDraw = False
101.8984 	EXP 	image: autoDraw = False
101.8984 	EXP 	Target: color = 'yellow (named)'
101.8984 	EXP 	Target: text = 'blue'
102.3830 	EXP 	Target: autoDraw = True
103.1542 	DATA 	Keypress: left
103.1657 	EXP 	Target: autoDraw = False
103.1657 	EXP 	image: image = 'incorrect.jpeg'
103.1657 	EXP 	image: autoDraw = True
104.1186 	EXP 	New trial (rep=3, index=7): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
104.1339 	EXP 	image: autoDraw = False
104.1339 	EXP 	Target: color = 'green (named)'
104.1339 	EXP 	Target: text = 'red'
104.6156 	EXP 	Target: autoDraw = True
105.1422 	DATA 	Keypress: down
105.1496 	EXP 	Target: autoDraw = False
105.1496 	EXP 	image: image = 'correct.jpeg'
105.1496 	EXP 	image: autoDraw = True
106.1355 	EXP 	New trial (rep=3, index=8): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
106.1508 	EXP 	image: autoDraw = False
106.1508 	EXP 	image: autoDraw = False
106.1508 	EXP 	Target: color = 'blue (named)'
106.1508 	EXP 	Target: text = 'red'
106.6332 	EXP 	Target: autoDraw = True
107.0222 	DATA 	Keypress: right
107.0331 	EXP 	Target: autoDraw = False
107.0331 	EXP 	image: image = 'correct.jpeg'
107.0331 	EXP 	image: autoDraw = True
108.0204 	EXP 	New trial (rep=3, index=9): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
108.0327 	EXP 	image: autoDraw = False
108.0327 	EXP 	image: autoDraw = False
108.0327 	EXP 	Target: color = 'yellow (named)'
108.0327 	EXP 	Target: text = 'red'
108.5173 	EXP 	Target: autoDraw = True
109.2604 	DATA 	Keypress: left
109.2840 	EXP 	Target: autoDraw = False
109.2840 	EXP 	image: image = 'incorrect.jpeg'
109.2840 	EXP 	image: autoDraw = True
